accuracy,epoch,loss,step,train_accuracy_epoch,validation_accuracy
0.34375,0,1.7070331573486328,2749,,
0.375,0,1.662312626838684,2799,,
0.34375,0,1.5806481838226318,2849,,
0.28125,0,1.503190517425537,2899,,
0.34375,0,1.6294571161270142,2949,,
0.25,0,1.4473142623901367,2999,,
0.28125,0,1.6214855909347534,3049,,
0.34375,0,1.3413245677947998,3099,,
0.3125,0,1.466404676437378,3149,,
0.40625,0,1.5149199962615967,3199,,
0.3125,0,1.6632405519485474,3249,,
0.34375,0,1.5329822301864624,3299,,
0.375,0,1.5604149103164673,3349,,
0.34375,0,1.724615454673767,3399,,
0.40625,0,1.4436887502670288,3449,,
0.34375,0,1.6238385438919067,3499,,
0.40625,0,1.551792860031128,3549,,
0.28125,0,1.5527957677841187,3599,,
0.40625,0,1.6281201839447021,3649,,
0.375,0,1.5539385080337524,3699,,
0.40625,0,1.677458643913269,3749,,
0.25,0,1.5861015319824219,3799,,
0.3125,0,1.6435134410858154,3849,,
0.34375,0,1.4430161714553833,3899,,
0.28125,0,1.4982726573944092,3949,,
0.28125,0,1.419630527496338,3999,,
0.34375,0,1.4752187728881836,4049,,
0.25,0,1.606728434562683,4099,,
0.5,0,1.4105982780456543,4149,,
0.28125,0,1.631120204925537,4199,,
0.46875,0,1.3792999982833862,4249,,
0.40625,0,1.6502856016159058,4299,,
0.25,0,1.7180618047714233,4349,,
0.21875,0,1.8085722923278809,4399,,
0.28125,0,1.6856108903884888,4449,,
0.125,0,1.7761852741241455,4499,,
0.5,0,1.4672664403915405,4549,,
0.4375,0,1.5083720684051514,4599,,
0.40625,0,1.6396886110305786,4649,,
0.375,0,1.6443768739700317,4699,,
0.40625,0,1.4530961513519287,4749,,
0.5625,0,1.3932291269302368,4799,,
0.28125,0,1.6482666730880737,4849,,
0.34375,0,1.4138175249099731,4899,,
0.34375,0,1.6562206745147705,4949,,
0.28125,0,1.6193758249282837,4999,,
0.375,0,1.421832799911499,5049,,
0.375,0,1.6100304126739502,5099,,
0.34375,0,1.644890546798706,5149,,
0.34375,0,1.5623345375061035,5199,,
0.40625,0,1.4814966917037964,5249,,
0.46875,0,1.505124807357788,5299,,
0.21875,0,1.610114574432373,5349,,
0.25,0,1.6892554759979248,5399,,
0.375,0,1.7703781127929688,5449,,
0.3125,0,1.520887017250061,5499,,
0.34375,0,1.5190411806106567,5549,,
0.28125,0,1.6843063831329346,5599,,
0.15625,0,1.6144403219223022,5649,,
0.34375,0,1.6017065048217773,5699,,
0.4375,0,1.5840590000152588,5749,,
0.3125,0,1.545374870300293,5799,,
0.46875,0,1.4369686841964722,5849,,
0.59375,0,1.5730195045471191,5899,,
0.46875,0,1.4252300262451172,5949,,
0.3125,0,1.5477272272109985,5999,,
0.15625,0,1.6400529146194458,6049,,
0.4375,0,1.5357571840286255,6099,,
0.15625,0,1.711893916130066,6149,,
0.21875,0,1.626412272453308,6199,,
0.34375,0,1.4822431802749634,6249,,
0.5625,0,1.443984866142273,6299,,
0.34375,0,1.4991018772125244,6349,,
0.3125,0,1.559903621673584,6399,,
0.40625,0,1.523827314376831,6449,,
0.4375,0,1.4197611808776855,6499,,
0.1875,0,1.6961255073547363,6549,,
0.21875,0,1.5393791198730469,6599,,
0.25,0,1.556586742401123,6649,,
0.21875,0,1.756177306175232,6699,,
0.1875,0,1.8075189590454102,6749,,
0.25,0,1.545093297958374,6799,,
0.28125,0,1.584730863571167,6849,,
0.34375,0,1.4846606254577637,6899,,
0.40625,0,1.3229923248291016,6949,,
0.28125,0,1.7414143085479736,6999,,
0.5625,0,1.4021670818328857,7049,,
0.40625,0,1.537396788597107,7099,,
0.34375,0,1.621389627456665,7149,,
0.28125,0,1.690420150756836,7199,,
0.3125,0,1.686395287513733,7249,,
0.53125,0,1.3894882202148438,7299,,
0.4375,0,1.4982192516326904,7349,,
0.28125,0,1.5684378147125244,7399,,
0.28125,0,1.6098650693893433,7449,,
0.40625,0,1.7007886171340942,7499,,
0.21875,0,1.6423163414001465,7549,,
0.34375,0,1.6994750499725342,7599,,
0.4375,0,1.5784982442855835,7649,,
0.40625,0,1.573697566986084,7699,,
0.34375,0,1.5340518951416016,7749,,
0.34375,0,1.775465726852417,7799,,
0.1875,0,1.662035584449768,7849,,
0.34375,0,1.7049927711486816,7899,,
0.28125,0,1.6216107606887817,7949,,
0.40625,0,1.6020355224609375,7999,,
0.25,0,1.492917537689209,8049,,
0.34375,0,1.4725863933563232,8099,,
0.4375,0,1.5087167024612427,8149,,
0.46875,0,1.4857616424560547,8199,,
0.28125,0,1.694037914276123,8249,,
0.28125,0,1.7475099563598633,8299,,
0.375,0,1.61646568775177,8349,,
0.3125,0,1.6136761903762817,8399,,
0.3125,0,1.604793906211853,8449,,
0.34375,0,1.5617536306381226,8499,,
0.40625,0,1.5965063571929932,8549,,
0.40625,0,1.5400747060775757,8599,,
0.28125,0,1.473799467086792,8649,,
0.40625,0,1.483291506767273,8699,,
0.34375,0,1.6445627212524414,8749,,
0.40625,0,1.449184775352478,8799,,
0.34375,0,1.5153776407241821,8849,,
